iter	Logloss
0	0.4630913977
1	0.3300175842
2	0.2548262332
3	0.2049223793
4	0.1768514994
5	0.1549392301
6	0.1399576827
7	0.1306006289
8	0.1185957785
9	0.1117330279
10	0.104534365
11	0.09751814509
12	0.09357877292
13	0.08730110394
14	0.08325614383
15	0.07964710921
16	0.07629568874
17	0.07346709462
18	0.07076516277
19	0.06858615647
20	0.06636219602
21	0.06456330937
22	0.06247405407
23	0.0602038507
24	0.0588007496
25	0.05644541211
26	0.05500737407
27	0.05381247641
28	0.0521545693
29	0.05043115805
30	0.04902102346
31	0.04771027962
32	0.04625331266
33	0.04531576501
34	0.0440436921
35	0.04299262642
36	0.04151040518
37	0.04065684027
38	0.03987483868
39	0.03828536008
40	0.03758535517
41	0.03684545699
42	0.03585361645
43	0.03507416171
44	0.03450519152
45	0.03333252281
46	0.03231767308
47	0.03168168007
48	0.0308693196
49	0.03025056668
50	0.02964777473
51	0.02887280296
52	0.02831697524
53	0.02772998904
54	0.02722452096
55	0.02679320756
56	0.02613492511
57	0.02562933631
58	0.02481689772
59	0.02435713347
60	0.02404497864
61	0.02365413587
62	0.02335919248
63	0.02273530979
64	0.02233196371
65	0.02173918088
66	0.02141319455
67	0.02109501124
68	0.02082354615
69	0.02054030044
70	0.02021155468
71	0.01976172173
72	0.01956524388
73	0.01926547314
74	0.01898225118
75	0.01863704421
76	0.01845326699
77	0.01816105129
78	0.01793322106
79	0.01754371266
80	0.01714787832
81	0.01699562804
82	0.0167734628
83	0.01659456709
84	0.01634500038
85	0.01616885525
86	0.0159154151
87	0.01566029441
88	0.01535479751
89	0.01512162016
90	0.01500285987
91	0.01482325109
92	0.01463672249
93	0.01426244353
94	0.01393168906
95	0.01375016225
96	0.01355641112
97	0.01346376781
98	0.01333551176
99	0.01321293519
100	0.01312205836
101	0.01301727071
102	0.01284837684
103	0.01280530894
104	0.01260723522
105	0.01252657794
106	0.01229415148
107	0.01213145149
108	0.01195064937
109	0.01188305291
110	0.01178213187
111	0.01166368648
112	0.0115563586
113	0.01134964873
114	0.01122454838
115	0.01117510883
116	0.01110575455
117	0.01093531499
118	0.01085386289
119	0.01068065225
120	0.010501752
121	0.01037311074
122	0.0102799501
123	0.01007355735
124	0.009951450305
125	0.009843568672
126	0.00966139034
127	0.009562539563
128	0.009505248093
129	0.009383024696
130	0.009295904186
131	0.00913612014
132	0.009048744533
133	0.008900812444
134	0.008751899726
135	0.008675246626
136	0.008591630279
137	0.008432236744
138	0.008357199269
139	0.008175363481
140	0.008066237556
141	0.007991710815
142	0.007901848703
143	0.007821802267
144	0.007768389929
145	0.007651835327
146	0.00756754616
147	0.007511528759
148	0.007413262194
149	0.007291903103
150	0.007241481523
151	0.00721221598
152	0.007142168715
153	0.007081873789
154	0.007036530444
155	0.006976663751
156	0.006877224989
157	0.006821420743
158	0.006744097624
159	0.006634279472
160	0.006538698716
161	0.006506524204
162	0.006439375011
163	0.006404626355
164	0.006338758622
165	0.006239185505
166	0.006143716513
167	0.006120366636
168	0.006085575238
169	0.006005531629
170	0.005936387508
171	0.005899098132
172	0.005822158146
173	0.005799840087
174	0.005707371977
175	0.005652442246
176	0.005626315464
177	0.005549337696
178	0.005494416252
179	0.005451731799
180	0.00538164572
181	0.005319773524
182	0.005304836674
183	0.005262566886
184	0.005234852635
185	0.005195099626
186	0.00516332949
187	0.005099330738
188	0.005029009043
189	0.004991859216
190	0.004961089141
191	0.004922166623
192	0.004896827274
193	0.004849863674
194	0.004812827735
195	0.004781720744
196	0.004762697497
197	0.004734345883
198	0.004667349254
199	0.004613169662
